GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "00000","United States", ,SQINC7S,910,"...","   Federal civilian","Thousands of dollars",11849876,12098548,12266732,12331224,12315236,12371260,12516332,12754908,12804000,13088000,13340000,13560000,13756000,13948000,14148000,14352000,14564000,14780000,15008000,15252000,15512000,15776000,16040000,16312000,16584000,16836000,17068000,17288000,17480000,17764000,18124000,18564000,19076000,19564000,20016000,20440000,20836000,21292000,21816000,22408000,23060000,23616000,24072000,24436000,24840000,25176000,25764000,26384000,27356000,28720000,28500000,29076000,29480000,30060000,30964000,31480000,31936000,32424000,33052000,33752000,34060000,34400000,34584000,35176000,35900000,36736000,37632000,38440000,39372000,40280000,41356000,42328000,42940000,43420000,44076000,44812000,45532000,46352000,47276000,48564000,49788000,50832000,52032000,53068000,53736000,53860000,54636000,54912000,55996000,60932000,59252000,60688000,62508000,63584000,65120000,66224000,66648000,66564000,67160000,67996000,68636000,68928000,70036000,71404000,72716000,74252000,75460000,76400000,76848000,78360000,79168000,79556000,79924000,79876000,79988000,80756000,81896000,83352000,84780000,86688000,88252000,89612000,90996000,92400000,92936000,93800000,93856000,93640000,95592000,102988000,100352000,99884000,101756000,103768000,106444000,107848000,108924000,109668000,110624000,111136000,112224000,113108000,114316000,114484000,115944000,116176000,116248000,116432000,116428000,116932000,117116000,117316000,117980000,118684000,119164000,119036000,119968000,119992000,119364000,121216000,121264000,121768000,123060000,123944000,123500000,124632000,126056000,128444000,133196000,137880000,134348000,133112000,133092000,133752000,135528000,136616000
 "00000","United States", ,SQINC7S,920,"...","   Military","Thousands of dollars",7802276,7826936,7846832,7868884,7882104,7914476,7970508,8056084,7904000,7988000,8032000,8048000,8024000,8064000,8152000,8292000,8484000,8628000,8716000,8748000,8724000,8768000,8872000,9036000,9272000,9412000,9480000,9472000,9388000,9476000,9732000,10152000,10740000,11184000,11500000,11680000,11728000,11852000,12040000,12308000,12648000,12952000,13212000,13432000,13808000,14196000,14580000,14840000,14940000,15012000,15148000,15180000,15332000,15480000,15724000,16104000,16372000,16540000,17096000,17592000,17608000,17528000,17576000,17768000,18152000,18452000,18488000,18672000,18720000,18768000,18792000,18832000,19000000,19160000,19172000,19220000,19280000,19444000,19652000,19876000,20200000,20484000,20828000,21040000,21164000,21388000,21704000,22204000,22684000,23424000,24304000,25312000,26512000,27632000,28856000,30032000,31048000,31920000,32512000,32896000,33280000,33512000,33860000,34352000,35068000,35796000,36408000,37056000,37788000,38440000,38968000,39248000,39624000,40100000,40564000,40956000,41340000,41672000,42280000,42808000,43060000,43204000,43508000,43788000,43884000,44328000,45008000,45628000,46128000,46412000,46340000,46648000,47808000,47484000,47780000,48884000,50484000,51460000,51712000,51496000,50416000,49560000,49012000,48536000,48416000,48344000,48224000,47916000,48016000,48120000,47612000,47316000,47148000,47032000,46920000,46992000,47076000,47064000,47188000,47236000,47068000,47000000,47184000,47408000,47896000,48212000,48800000,49364000,49956000,50360000,51280000,51984000,52472000,53288000,54604000,58236000
 "00000","United States", ,SQINC7S,930,"...","   State and local","Thousands of dollars",20762072,21339488,21741692,22185500,22594648,22898592,23225804,23625304,24328000,24880000,25440000,25900000,26532000,27052000,27708000,28312000,28968000,29476000,29920000,30504000,31200000,31724000,32344000,33112000,33908000,34680000,35344000,36164000,37024000,37912000,38952000,39752000,40812000,41872000,43092000,44420000,45396000,46544000,48072000,49472000,51300000,52808000,54308000,55756000,57012000,58576000,60460000,62292000,64640000,66776000,68708000,70328000,72728000,74532000,76332000,77612000,79812000,81768000,84000000,85960000,88484000,90824000,92828000,94636000,96712000,98776000,101152000,103816000,107232000,110912000,113756000,115724000,118068000,120220000,122220000,124272000,126648000,129152000,132404000,135468000,138316000,140668000,144160000,147292000,150956000,152640000,157160000,160908000,164668000,168916000,173120000,177152000,180628000,183668000,186720000,190268000,194372000,197884000,200640000,204240000,207444000,210780000,213396000,215784000,220184000,224628000,229732000,234180000,238656000,242816000,249052000,253152000,257264000,262292000,267484000,274688000,278604000,283100000,286040000,292292000,298288000,303568000,307868000,315024000,320508000,326484000,333704000,340780000,348372000,355240000,362644000,368356000,373780000,378452000,381520000,386076000,391296000,396348000,401276000,404976000,409072000,412996000,417708000,421416000,426700000,432940000,438580000,443668000,448852000,453392000,457240000,461820000,466000000,471028000,475704000,481052000,486284000,491932000,498556000,505704000,512356000,519484000,526160000,531764000,537572000,544948000,554364000,564116000,572840000,580932000,588756000,596668000,606168000,616820000,628580000,637960000
 "01000","Alabama",5,SQINC7S,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",2906916,2961356,3013848,3132120,3173508,3239392,3186932,3219316,3326492,3376676,3353176,3330952,3351032,3370536,3449952,3516736,3545552,3598440,3608272,3672668,3700908,3766460,3861304,3943800,4033732,4162536,4254096,4346160,4499568,4537412,4616804,4721940,4856704,4996652,5100808,5171824,5184432,5243432,5343008,5467096,5591624,5725508,5864644,5962340,6098664,6272192,6446256,6574152,6690256,6714988,6843888,6897404,7094896,7241676,7388796,7468076,7826792,7955960,8086124,8330960,8618684,8874960,9125368,9452228,9681156,9973608,10225592,10296568,10317584,10435944,10918188,11221840,11740900,11913824,12150464,12588416,12742012,13365192,13761968,14132976,14398848,15153676,15606672,16018956,16409008,16611604,17023608,17515860,18038664,18149740,18214472,18926180,19487800,19493388,20018024,20145440,20233984,20420724,20562948,20647600,20949124,21542072,22126164,22698096,23206272,23685160,24244992,24648120,25148796,25693884,26103156,26584176,27162384,27173176,27531700,27909956,28469380,28792632,29497792,30505112,30060836,31175820,31881540,32442388,32603032,32895000,33137588,33813768,34328028,35222352,35573120,35932476,36151496,36531944,37000208,37612156,38500388,39060684,39584100,39812440,40589472,40726492,40938184,41561164,41847712,42870912,43659772,44353624,44977632,45381384,45815756,46142076,46303492,47231988,48002232,48393224,49371048,49685740,50235608,51112820,51907352,52288020,53008156,53766744,54320308,54707692,55474416,56257352,56991828,57243520,57000928,57720792,58269648,58754392,58966940,58610304
 "01000","Alabama",5,SQINC7S,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",31192,31576,32376,35360,37196,37868,38268,40416,37640,36608,35288,35656,36272,36392,37184,37380,37680,37808,37640,37844,37824,37020,39128,36120,36180,38732,37204,35816,33776,34236,33336,35716,38980,43032,45232,46376,44216,41180,41224,40312,41048,39968,41948,42784,44824,46240,46972,48036,45268,45600,45500,44160,42924,42184,42864,42304,41972,40712,41536,43228,45656,49264,51980,54284,51812,51536,50968,51836,57984,59096,59088,61232,66000,68916,67824,65680,63044,59368,59808,63168,76884,82916,87428,89964,88552,88076,87660,87676,88052,88480,87312,84720,81428,79460,79620,81904,88488,92760,95104,95132,93916,91844,90728,90472,92856,93468,94224,95116,98424,98596,98000,96552,95852,94060,93024,92704,94664,95976,97780,100052,102728,104248,105020,105100,102572,103124,105276,109076,113808,117876,119184,117876,111540,108744,106160,104224,99272,98604,99696,102276,110076,112700,114128,114224,111712,109776,108832,109128,112700,114892,115680,115220,111920,110704,110968,112624,115584,119240,121744,122904,127344,127932,126912,125040,118552,116520,116320,117840,121564,124384,130192,137888,165996,168060,169376,169984
 "01000","Alabama",5,SQINC7S,82,"..."," Nonfarm wages and salaries","Thousands of dollars",2875724,2929780,2981472,3096760,3136312,3201524,3148664,3178900,3288852,3340068,3317888,3295296,3314760,3334144,3412768,3479356,3507872,3560632,3570632,3634824,3663084,3729440,3822176,3907680,3997552,4123804,4216892,4310344,4465792,4503176,4583468,4686224,4817724,4953620,5055576,5125448,5140216,5202252,5301784,5426784,5550576,5685540,5822696,5919556,6053840,6225952,6399284,6526116,6644988,6669388,6798388,6853244,7051972,7199492,7345932,7425772,7784820,7915248,8044588,8287732,8573028,8825696,9073388,9397944,9629344,9922072,10174624,10244732,10259600,10376848,10859100,11160608,11674900,11844908,12082640,12522736,12678968,13305824,13702160,14069808,14321964,15070760,15519244,15928992,16320456,16523528,16935948,17428184,17950612,18061260,18127160,18841460,19406372,19413928,19938404,20063536,20145496,20327964,20467844,20552468,20855208,21450228,22035436,22607624,23113416,23591692,24150768,24553004,25050372,25595288,26005156,26487624,27066532,27079116,27438676,27817252,28374716,28696656,29400012,30405060,29958108,31071572,31776520,32337288,32500460,32791876,33032312,33704692,34214220,35104476,35453936,35814600,36039956,36423200,36894048,37507932,38401116,38962080,39484404,39710164,40479396,40613792,40824056,41446940,41736000,42761136,43550940,44244496,44864932,45266492,45700076,46026856,46191572,47121284,47891264,48280600,49255464,49566500,50113864,50989916,51780008,52160088,52881244,53641704,54201756,54591172,55358096,56139512,56870264,57119136,56870736,57582904,58103652,58586332,58797564,58440320
 "01000","Alabama",5,SQINC7S,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",2170632,2189484,2249468,2337716,2397352,2454232,2377964,2391296,2485232,2512544,2478132,2448052,2442388,2456720,2528004,2583376,2598360,2646972,2661348,2706108,2733968,2795428,2857348,2925356,2997532,3084284,3156292,3251368,3378744,3418668,3489416,3571016,3669900,3774008,3858900,3899956,3898288,3932700,3991448,4081804,4188828,4295484,4387196,4477532,4596796,4739724,4870268,4944832,5013876,4995372,5092792,5124684,5255072,5356600,5465256,5504128,5824956,5924856,6038060,6216080,6456728,6674360,6908184,7172160,7344560,7561852,7742204,7778196,7739076,7803188,8164008,8440080,8883948,8993492,9171332,9560744,9669392,10208580,10524640,10789512,10931832,11597920,11929576,12277968,12577920,12745536,13046348,13499536,13852596,13840264,13817772,14382568,14936612,14870244,15315524,15299084,15396204,15501664,15549096,15539132,15786108,16231396,16792668,17354728,17758628,18194048,18573188,18830356,19155716,19627648,19919532,20385252,20798076,20799400,21130824,21493920,21911408,22181736,22769728,23605168,23117436,24184136,24760408,25151440,25280316,25477988,25703716,26289964,26696744,27310028,27624576,27658072,27799848,28103956,28479404,29042428,29780184,30202772,30668960,30820020,31521952,31678524,31815192,32236500,32507116,33255228,34001620,34582368,35087484,35460288,35842340,36211860,36303800,37253652,37913988,38417688,39155652,39471684,39938024,40597160,41419884,41675468,42165244,42657452,43198516,43614280,44181840,44996588,45561656,45570756,45467472,45913384,46391744,46731480,46790928,46377064
 "01000","Alabama",5,SQINC7S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",7456,7420,7460,7432,7516,7584,7664,7652,7456,7396,7348,7428,7456,7980,8016,8016,8016,8380,8388,8392,8472,8476,8980,8996,9056,9444,9424,9824,10232,10604,10652,11096,11204,11200,11216,11648,11624,12076,12476,12448,12868,13268,13692,13740,15876,16316,16860,17000,17232,17624,18648,19336,20120,21424,22008,22444,22312,22752,23924,25804,29208,32208,34372,35948,35888,35712,35128,34368,35628,33792,33928,35580,39088,41724,43040,42644,38208,38688,40152,42772,52232,55752,58012,60388,57544,56560,61248,65900,66108,66972,70708,72148,81480,85136,81336,81368,78888,83036,79800,78104,83968,86432,96560,96932,94948,101736,103404,111752,105056,104832,109432,110484,118940,109856,108416,110488,115760,115632,118708,117084,117028,118180,118132,118200,121020,123228,128996,130452,134052,139360,140252,141896,146944,148624,148224,152292,152328,155408,160060,168380,165576,168872,178232,183356,189716,193964,193308,205208,204808,215728,214832,215128,220816,223744,233504,234804,231308,231264,238400,243344,249720,258244,262660,267068,275724,276192,285640,288292,298668,293432,283532,292836,366836,317452,286700,262224
 "01000","Alabama",5,SQINC7S,200,"B","   Mining","Thousands of dollars",61964,56992,55896,57944,61168,66276,51392,61208,67768,66916,61340,61452,58572,55096,56204,54792,53220,53512,46504,43528,41356,45104,44696,45288,45688,45424,49712,50316,50776,50112,47840,46872,46832,43656,52252,47312,51152,52288,52684,53140,52000,54156,54636,53184,59232,57244,60472,65444,63012,66588,71576,76504,71652,72476,76592,54092,80496,79552,82512,87524,86756,87308,93360,101368,112412,119588,132056,106884,180416,175856,180448,196140,212136,212640,184672,225648,235848,238924,228632,213680,102596,299928,326320,334208,328716,333460,337704,355852,369112,372948,363076,408888,411216,197248,454424,466784,476248,416868,428648,381136,370848,353228,364804,390048,402656,424804,433180,418024,435836,461452,453496,471760,434708,391324,403160,399048,389196,402196,367596,397004,384792,413536,413608,402564,416152,418272,391944,454428,466404,481136,500108,497300,481480,485976,474168,461040,465192,432668,422408,430648,414340,443704,440124,432336,469132,428488,454912,447552,479396,484924,484432,499096,481308,499496,496688,511812,514084,518420,503052,487636,481188,464184,451880,466692,443148,450936,441616,434028,445176,437996,430220,428492,429312,426468,432084,440540
 "01000","Alabama",5,SQINC7S,300,"C","   Construction","Thousands of dollars",153720,153736,156392,168068,168772,165488,169180,169824,170856,175112,172824,169228,165532,160760,168936,169868,166124,167608,166528,166964,168600,176184,193204,204484,216224,235536,241024,261252,282884,273332,267324,263204,278552,307440,326216,326872,304556,287648,292936,312532,308084,315172,319052,324792,340528,354552,367692,369700,362924,365896,363388,356292,380624,396064,410704,415384,432360,450348,448912,465428,484836,535364,604824,642532,666060,672948,673888,701144,700128,693040,718988,740100,784944,768512,789432,836540,865708,922076,934316,914516,938584,1003980,1029416,1026452,983116,990956,983864,1054492,1077812,1058540,1051260,1041372,1089644,1052144,1027920,999880,985664,1031680,1042056,1024800,1003192,1022480,1082180,1065604,1092952,1094104,1107008,1138536,1212340,1288300,1286884,1325648,1346568,1332848,1352904,1375596,1373500,1392716,1406804,1469504,1480388,1566564,1581664,1577364,1522928,1552928,1639704,1685124,1826892,1812272,1790336,1749296,1791504,1769824,1791692,1762840,1718376,1723720,1736880,1820572,1746972,1790924,1785520,1842444,1888760,1932148,1982584,2047056,2106168,2085384,2119928,2190740,2273112,2393528,2488800,2513392,2546068,2596804,2599984,2648672,2693864,2821292,2782264,2836872,3019960,2991648,3052152,3091756,3153800,3156448,3213204,3261660,3277040,3361536,3312572,3252092
